"SiO2"	"Al2O3"	"Fe2O3"	"CaO"	"MgO"	"Na2O"	"K2O"
14.89	3.37	1.3	43.84	0.89	0.2	0.52
16.71	3.51	1.65	41.98	0.97	0.24	0.6
23.37	4.86	2.26	36.37	1.29	0.24	0.92
16.13	3.32	1.42	42.31	1.02	0.23	0.61
16.11	3.43	1.43	42.42	0.83	0.31	0.66
17.94	3.98	1.67	40.55	1.16	0.22	0.76
15.24	2.91	1.46	43.58	0.94	0.32	0.64
18.15	3.86	1.88	40.93	1.05	0.27	0.4
16.39	3.12	1.22	42.97	0.99	0.3	0.57
17.89	3.49	1.5	41.48	1.07	0.23	0.68
22.1	5.19	1.89	37.14	1.2	0.22	0.73
14.67	3.17	1.3	43.99	0.81	0.28	0.78
16.71	3.8	1.6	41.94	1.02	0.24	0.88
24.89	4.43	1.96	36.67	1.09	0.23	0.89
14.81	2.9	1.23	43.99	0.94	0.43	0.48
16.46	3.34	1.47	42.57	0.91	0.39	0.66
21.81	4.55	1.89	37.81	1.05	0.3	0.9
14.32	3.03	1.27	44.11	0.88	0.37	0.52
16.95	3.39	1.47	42.13	0.94	0.3	0.56
14.71	3.26	1.26	43.77	0.94	0.25	0.73
15.35	3.15	1.35	42.94	0.9	0.26	0.7
21.97	5.05	1.89	37.81	1.05	0.35	1.01
16.59	3.68	1.37	42.8	1	0	0.73
17.06	3.61	1.46	42.57	0.99	0.28	0.71
25.38	5.64	2.28	36.71	1.18	0.34	0.84
16.53	3.53	1.4	42.7	0.94	0.3	0.61
18.41	3.86	1.55	41.16	1.04	0.18	0.63
16.99	3.58	1.54	41.92	1.05	0.37	0.66
18.63	3.6	1.59	40.98	0.86	0.27	0.62
18.02	3.93	1.74	41.06	0.96	0.2	0.68
18.43	4.13	1.67	40.27	1.1	0.3	0.49
17.63	3.89	1.63	40.94	1.05	0.19	0.42
17.28	3.49	1.48	42	0.96	0.27	0.65
18.97	4.06	1.6	41.05	1.08	0.3	0.72
10.6	3.28	1.36	45.62	1.92	0.19	0.63
9.1	1.77	1.14	48.65	1.21	0.14	0.32
16.78	3.77	1.5	41.7	1.02	0.37	0.63
17.76	3.8	1.57	41.07	0.96	0.25	0.71
11.8	2.08	1.5	44.65	2.62	0.32	0.9
16.41	3.57	1.4	42.18	1.04	0.32	0.58
19.72	4.48	1.83	38.98	1.18	0.26	0.74
16.89	3.61	1.4	41.93	1.01	0.32	0.73
17.01	3.95	1.55	41.13	1.04	0.36	0.74
17.26	4.03	1.57	40.8	1.2	0.32	0.77
26.8	5.04	1.9	34.3	1.24	0.25	0.91
16.84	3.58	1.42	41.99	0.93	0.27	0.6
17.88	4.14	1.6	40.54	1.49	0.26	0.65
21.2	4.3	1.8	38.24	1.15	0.16	0.72
15.39	3.16	1.32	43.38	0.89	0.32	0.58
17.43	3.91	1.65	41.36	1	0.38	0.64
22.03	4.24	1.92	37.8	1.13	0.28	0.81
20.61	4.34	1.85	38.57	1.18	0.31	0.81
15.82	3.5	1.42	42.65	0.94	0.37	0.87
16.42	3.67	1.51	42.09	1.02	0.38	0.77
19.63	4.37	1.8	39.43	1.16	0.37	0.96
25.32	5.2	2.04	34.93	1.33	0.34	0.92
21.79	5	2.25	36.92	1.33	0.34	0.97
17.11	3.87	1.66	41.37	0.97	0.4	0.85
23.09	4.77	2.23	36.46	1.27	0.32	0.98
17.15	3.84	1.62	41.24	1.13	0.36	0.62
17.26	4.02	1.72	40.94	1.05	0.3	0.75
16.1	3.48	1.47	42.03	1.28	0.25	0.64
18.3	3.81	1.55	40.44	1.21	0.35	0.72
22.81	4.37	2	36.41	1.48	0.26	0.81
21.63	4.58	2.25	37.64	1.26	0.3	0.82
17.47	3.96	1.71	41.15	1.07	0.33	0.76
19.79	3.93	1.74	39.73	1.02	0.26	0.84
17.87	3.84	1.75	40.8	1.1	0.28	0.85
19.5	4.15	1.93	39.42	1.18	0.15	0.85
17.91	3.75	1.81	40.46	1.13	0.33	0.88
21.61	3.6	1.32	38.95	0.75	0.26	0.9
22.34	5.14	2.15	36.31	1.29	0.29	0.99
22.99	4.59	2.13	37	1.33	0.32	1.02
10.16	2.76	1.1	46.03	1.57	0.12	0.69
14.51	2.13	0.92	44.63	1.09	0.12	0.49
13.7	2.59	1.09	44.78	0.88	0.15	0.51
12.2	2.3	0.99	46.05	0.86	0.12	0.4
12.52	2.21	1.06	45.81	0.93	0.17	0.42
11.14	2.3	0.99	45.97	0.96	0.24	0.58
15.05	2.77	1.21	44	0.82	0.29	0.56
13.21	3.51	1.33	43.49	1.86	0.16	0.83
15.18	3.19	1.25	43.38	1.15	0.27	0.79
15.55	2.91	1.18	43.61	1.08	0.27	0.64
16.21	3.19	1.38	42.61	1.08	0.34	0.68
22.22	3.46	1.56	38.88	1.2	0.41	0.86
15.03	3.33	1.36	43.34	1.39	0.31	0.5
15.32	2.83	1.14	43.64	1.02	0.24	0.67
13.9	2.65	1.07	44.75	0.99	0.23	0.58
12.31	2.2	0.92	46.19	0.94	0.19	0.46
11.88	2.34	0.94	46.37	0.91	0.2	0.47
25.35	3.04	2	36.14	2.64	0.41	0.51
27.82	6.46	2.73	32.17	1.41	0.35	1
29.42	7.75	3.2	29.33	1.49	0.34	1.18
31.25	6.84	3	29.28	1.45	0.36	1.18
31.86	6.6	2.78	29.77	1.53	0.48	1.42
30.03	6.94	2.75	30.49	1.52	0.36	1.24
30.04	6.05	2.56	30.69	1.35	0.38	1.09
23.1	5.16	2.59	35.79	1.1	0.31	1.02
28.01	5.65	2.79	32.46	0.9	0.4	1.07
27.58	7.01	2.94	31.06	1.3	0.3	1.1
27.56	5.96	2.68	32.76	1.3	0.31	0.94
28.5	7.2	2.9	30.24	1.63	0.34	1.38
33.28	7.11	3.2	27.24	1.47	0.47	1.38
24.93	6.78	2.88	33.21	1.61	0.32	1.21
25.44	6.63	2.95	34.03	1.32	0.41	1.04
36.19	6.85	3.05	27.26	1.36	0.16	0.74
25.1	5.57	2.5	34.9	1.03	0.31	1.03
23.92	5.42	2.31	36	1.41	0.23	0.86
25.56	6.45	2.56	32.31	2.29	0.22	1.12
25.6	6.53	2.67	32.33	2.07	0.25	1.07
26.1	6.44	2.6	32.99	1.25	0.24	1.04
26.77	6.35	2.75	32.52	1.49	0.25	1.07
25.03	5.63	2.46	34.33	1.61	0.22	1.01
24.32	5.43	2.5	34.99	1.59	0.23	1.01
26.12	5.87	2.35	34.14	1.69	0.26	1.19
23.83	5.38	2.37	35.77	1.35	0.25	1
23.36	5.82	2.4	34.9	1.95	0.25	1.06
23.84	5.99	2.36	34.75	2.01	0.4	1.19
25.81	6.1	2.4	34.04	1.47	0.37	1.07
24.65	5.81	2.43	34.43	1.74	0.26	1.01
26.61	6.23	2.62	32.51	1.77	0	0
21.86	4.89	2.11	37.04	1.39	0.18	0.84
25.81	5.46	2.38	34.24	1.74	0.26	0.87
23.19	5.59	2.42	35.24	2.03	0.24	0.95
22.4	5.3	2.3	35.7	1.96	0.4	1.21
22.95	5.49	2.36	35.34	1.88	0.37	1.19
22.45	5.24	2.37	35.96	1.64	0.29	1.09
20.3	3.97	1.89	38.66	1.54	0.27	0.84
21.41	4.53	2.13	37.5	1.5	0.31	1
25	5.04	2.33	35.46	1.75	0.33	1.01
23.64	4.37	2.18	36.42	1.68	0.3	0.92
21.54	4.78	2.04	37.99	1.63	0.29	0.96
22.48	4.87	2.19	36.84	1.68	0.32	1.06
22.48	5.44	2.29	35.79	1.82	0.47	1.13
23	5.19	2.19	35.37	2.01	0.76	1.25
24.77	5.11	2.24	35.21	1.75	0.33	1.03
21.17	4.85	2.16	37.15	1.63	0.29	1.07
25.65	6.11	2.69	33.68	1.28	0.29	1.22
25.41	6.03	2.57	33.36	1.83	0.32	1.18
23.22	4.99	2.12	35.56	2.02	0.26	1.01
23.34	5	2.15	35.62	1.67	0.28	1.03
24.1	5.73	2.53	34.45	1.92	0.32	1.07
26.59	5.29	2.32	33.53	1.79	0.52	1.14
25.24	4.86	2.28	34.78	1.74	0.28	1.02
25.82	5.66	2.36	33.74	1.97	0.34	1.19
27.54	5.24	2.3	33.36	1.63	0.31	1.07
28.56	5.81	2.38	32.58	1.62	0.37	1.14
21.71	5.18	2.2	36.72	1.84	0.24	0.96
29.57	6.15	2.53	31.26	1.91	0.43	1.2
30.5	4.83	2.39	31.83	1.73	0.45	1.17
25.36	4.18	2.08	35.36	1.83	0.36	1.02
31.1	5.78	2.4	31.14	1.52	0.45	1.13
30.48	5.78	2.44	31.16	1.85	0.4	1.07
32.14	5.62	2.43	30.29	1.73	0.66	1.27
30.61	6.01	2.45	30.82	1.7	0.42	1.09
31.56	6.16	2.57	30.23	1.65	0.43	1
23.43	4.53	2.18	36.18	1.61	0.32	0.87
30.81	5.55	2.45	31.1	1.38	0.43	1.04
26.7	5.49	2.2	34.06	1.49	0.28	0.87
29.69	5.83	2.45	31.21	1.59	0.66	1.21
27.8	5.67	2.39	31.89	1.7	0.38	1.02
26.9	5.48	2.31	32.93	1.45	0.36	1.05
28.43	5.98	2.5	32.28	1.52	0.35	1.09
29.91	6.25	2.69	31.31	1.67	0.46	1.2
27.63	6.02	2.44	32.71	1.38	0.52	1.3
27.58	5.98	2.38	32.94	1.4	0.49	1.22
29.72	7.69	2.97	29.88	1.65	0.42	1.34
24.58	6.07	2.47	34.15	1.57	0.34	1.09
25.04	5.6	2.36	34.56	1.65	0.34	0.97
29.49	5.95	2.61	31.23	1.46	0.51	1.18
29.96	6.1	2.57	30.97	1.64	0.43	1.09
30.01	6.08	2.55	31.46	1.37	0.4	1.04
31.68	6.43	3.05	29.62	1.37	0.35	1.22
29.66	6.27	2.97	31.06	1.28	0.22	1.2
14.79	2.85	1.19	43.85	0.99	0.24	0.6
14.91	2.62	1.15	43.73	0.91	0.21	0.56
11.47	2.11	0.93	46.37	0.75	0.19	0.43
11.27	2.09	0.94	46.7	0.77	0.27	0.41
14.57	2.66	1.16	43.99	0.77	0.2	0.51
12.73	2.7	1.12	45.47	0.92	0.22	0.6
15.03	2.85	1.18	44.01	0.92	0.27	0.56
11.91	2.35	0.99	46.63	0.75	0.22	0.42
14.24	2.71	1.11	44.8	0.92	0.24	0.48
9.91	2.1	0.9	47.32	0.91	0.22	0.52
15.97	3.03	1.21	42.91	0.97	0.32	0.62
13.31	2.6	1.08	44.85	0.83	0.3	0.53
13.04	2.21	0.89	45.71	0.78	0.26	0.41
17.13	3.34	1.37	41.9	0.91	0.38	0.65
11.87	2.52	1.08	46.03	0.89	0.24	0.52
14.81	2.9	1.26	43.86	1.05	0.32	0.6
12.07	2.33	1	46.41	0.7	0.27	0.47
13.97	2.66	1.13	44.8	0.78	0.32	0.53
12.86	2.09	1.07	45.71	0.86	0.2	0.43
15.32	2.82	1.23	43.62	0.83	0.32	0.58
11.93	2.07	0.96	46.39	0.83	0.23	0.36
14.56	2.56	1.13	44.37	0.81	0.27	0.43
11	2.1	0.97	46.69	0.81	0.14	0.43
14.45	2.8	1.15	44.18	0.81	0.28	0.53
13.22	2.5	1.07	45.15	0.81	0.22	0.39
13.77	2.3	1.07	45.08	0.86	0.23	0.41
12.83	2.76	1.1	44.14	1.4	0.33	0.7
15.73	3.28	1.38	42.61	0.7	0.34	0.68
12.95	2.36	1.01	45.23	0.72	0.26	0.47
15.49	2.76	1.24	43.25	0.86	0.3	0.54
10.99	2.41	1.05	46.31	1.16	0.24	0.56
13.17	2.66	1.25	44.93	1.08	0.33	0.66
11.75	2.25	1.03	46.42	0.83	0.31	0.52
14.26	2.67	1.17	44.59	0.83	0.33	0.61
16.64	3.34	1.45	42.59	0.9	0.35	0.7
16.4	3.47	1.47	42.54	0.99	0.37	0.91
11.77	2.26	1.13	45.89	0.89	0.24	0.5
13.2	2.49	1.24	44.89	0.94	0.3	0.53
12.37	2.2	1.04	46.01	0.64	0.3	0.46
15.77	3.03	1.37	43.21	0.86	0.38	0.65
12.18	2.51	1.1	46.17	0.78	0.27	0.59
13.82	2.66	1.19	45.03	0.75	0.32	0.62
12.69	2.32	1.06	46.08	0.66	0.28	0.54
15.07	2.79	1.24	44.3	0.7	0.36	0.6
12.04	2.34	1.04	46.06	0.75	0.28	0.57
14.95	2.74	1.2	43.97	0.86	0.28	0.58
13.58	2.52	1.13	45	0.72	0.27	0.51
15.81	3.02	1.31	43.08	0.91	0.38	0.58
18.61	3.83	1.96	40.32	1.07	0.23	0.79
18.5	2.07	1.32	42.59	0.66	0.2	0.47
15.04	2.16	1.1	44.61	0.81	0.2	0.35
13.16	2.02	1.01	45.93	0.76	0.18	0.3
14.27	2.32	1.09	44.72	0.72	0.17	0.36
13.38	2.3	1.01	45.3	0.85	0.23	0.44
16.76	2.4	1.1	42.97	0.7	0.29	0.5
14.89	2.39	1.01	44.48	0.59	0.29	0.44
13.42	2.57	1.16	44.8	1.34	0.15	0.56
13.37	2.52	1.11	45.3	0.8	0.15	0.52
13.56	2.39	1.03	45.16	0.86	0.28	0.5
15.25	2.8	1.2	44.04	0.69	0.27	0.62
15.14	2.89	1.28	43.77	0.86	0.25	0.51
14.88	3.01	1.32	43.72	1.15	0.19	0.51
15.35	2.96	1.31	43.53	0.72	0.23	0.53
15.47	2.95	1.3	43.63	0.75	0.18	0.51
14.25	2.1	1.04	44.92	0.81	0.34	0.48
12.87	2.42	1.07	45.46	0.75	0.27	0.5
15.72	1.95	0.93	44.74	0.59	0.23	0.32
13.29	2.44	1.01	45.54	0.67	0.32	0.48
11.26	2.24	1	46.39	1.01	0.16	0.47
13.74	2.62	1.14	44.76	1	0.2	0.54
12.61	2.33	1	45.88	0.76	0.2	0.44
15.14	2.72	1.19	43.99	0.81	0.24	0.54
15.07	2.88	1.23	43.72	1.12	0.22	0.63
15.06	2.36	1.03	44.39	0.78	0.22	0.48
12.38	2.36	1.01	45.85	0.77	0.22	0.45
16.39	3.59	1.43	42.37	1.04	0.28	0.71
14.79	2.04	0.92	44.83	0.81	0.22	0.36
15.41	2.28	1.02	44.04	0.87	0.31	0.44
12.05	1.72	1.12	46.51	0.72	0.26	0.34
14.95	2.62	0.87	44.32	0.8	0.26	0.46
14.71	2.39	1.1	44.51	0.84	0.31	0.63
14.17	2.03	1.03	45.09	0.78	0.35	0.58
14.17	2.65	1.16	44.54	0.83	0.4	0.63
17.32	3.37	1.5	41.72	0.96	0.48	0.82
13.84	2.87	1.16	44.43	0.89	0.31	0.68
14.37	2.65	1.12	44.49	0.84	0.29	0.62
14.16	2.7	1.14	44.46	0.8	0.31	0.59
13.77	2.88	1.19	44.12	1.1	0.31	0.77
14.68	2.74	1.18	43.77	0.98	0.32	0.65
15.18	2.93	1.24	43.35	0.92	0.35	0.69
14.64	2.86	1.21	44.06	1.04	0.24	0.68
14.45	2.62	1.12	44.38	0.89	0.25	0.58
14.86	2.84	1.22	43.95	0.92	0.28	0.61
17.98	3.7	1.64	41.09	1.06	0.34	0.73
26.46	1.47	1.46	36.97	2.11	0.27	0.33
15.29	2.56	1.09	43.89	1.02	0.39	0.69
15	2.29	1	44.23	0.91	0.33	0.51
13.61	2.36	0.96	45.29	0.87	0.33	0.51
17.02	3.29	1.38	41.87	1.06	0.45	0.71
17.76	3.81	1.61	41.52	0.86	0.33	0.77
17.7	3.75	1.59	41.45	0.91	0.46	0.77
16.54	3.54	1.49	42.18	0.86	0.3	0.7
20.03	4.15	1.73	38.98	1.05	0.38	0.97
17.64	3.75	1.57	41.56	1.02	0.23	0.71
20.95	4.72	2.21	38.41	1.05	0.2	1.48
19.31	4.05	1.86	39.56	1.07	0.53	0.81
18.73	4.25	1.86	39.72	1.1	0.35	0.85
20.75	4.04	1.84	38.63	1.06	0.25	0.93
16.76	4.02	1.5	41.38	1.11	0.33	0.66
20.14	3.67	1.63	38.9	1.15	0.21	0.71
18.32	4.07	1.78	40.37	1.08	0.22	0.78
17.35	3.85	1.53	41.53	1.02	0.3	0.79
18.38	3.58	1.7	40.93	1.1	0.28	0.64
16.25	3.7	1.47	42.16	0.97	0.35	0.72
17.09	4	1.63	41.3	0.97	0.36	0.7
6.04	1.25	0.6	50.52	0.93	0.1	0.28
13.88	2.77	1.29	44.39	0.98	0.28	0.58
12.67	2.41	1.11	45.48	0.78	0.27	0.48
13.22	2.37	1.05	45.37	0.81	0.25	0.43
26.98	6.62	2.83	32.69	1.46	0.22	1.26
15.39	3.2	1.39	42.54	0.97	0.33	0.78
14.29	2.87	1.24	43.55	1	0.19	0.57
14.13	2.6	1.19	43.97	0.9	0.27	0.63
16.05	3.08	1.6	42.27	1.34	0.3	0.7
23.65	4.23	1.96	36.48	1.42	0.31	0.98
14.89	3.07	1.2	43.62	0.87	0.36	0.7
13.71	2.94	1.16	44.93	0.94	0.33	0.59
14.45	2.86	1.21	43.85	0.88	0.32	0.62
13.01	2.68	1.11	45.15	0.72	0.18	0.43
13.35	2.68	1.14	44.85	0.88	0.2	0.45
16.14	3.27	1.43	42.4	1.02	0.25	0.61
18.22	3.61	1.81	40.93	1.13	0.27	0.68
25.38	4.55	2.21	35.4	1.45	0.35	0.75
12.28	2.45	1.01	45.7	0.93	0.32	0.56
12.54	2.44	1.04	45.52	0.81	0.36	0.46
14.71	2.63	1.17	44.04	0.83	0.43	0.47
17.37	3.43	1.54	41.48	0.97	0.31	0.68
24.08	4.67	2.12	36.44	1.4	0.45	0.9
26.54	5.86	2.29	33.08	1.29	0.35	1.08
24.21	5.53	2.31	34.14	1.3	0.42	1.34
26.62	6.34	2.71	31.51	1.42	0.52	1.58
27.01	6.51	2.65	31.42	1.41	0.44	1.59
11.54	3.08	0.95	46.39	1.01	0.18	0.49
15.43	3.72	1.19	43.33	1.02	0.22	0.69
13.66	3.23	1.04	44.78	0.92	0.17	0.44
13.9	3.23	1.03	44.66	0.94	0.18	0.45
15.7	3.65	1.28	43.12	0.95	0.24	0.61
17.63	3.89	1.39	41.63	1.01	0.28	0.72
20.17	4.41	1.8	38.37	1.16	0.33	0.94
8.25	1.86	0.88	49	0.72	0.12	0.38
15.4	3.01	1.27	43.96	0.85	0.16	0.55
12.86	2.43	1.06	46.25	0.68	0.17	0.43
15.65	3.31	1.41	43.65	0.85	0.22	0.59
16.85	3.81	1.54	42.22	1.04	0.28	0.69
21.05	4.42	1.9	38.35	1.32	0.35	0.81
5.31	1.19	0.54	50.59	0.94	0.09	0.28
8.05	1.1	0.63	49.55	1.07	0.1	0.28
4.27	0.6	0.55	51.78	0.9	0.08	0.18
4.05	0.65	0.5	51.02	0.89	0.09	0.18
10.1	2.37	0.93	46.81	1.04	0.15	0.39
15.7	3.17	1.21	42.81	1.01	0.26	0.6
12.84	2.58	1	45.25	0.88	0.18	0.44
15.79	3.17	0.91	42.88	0.91	0.23	0.56
19.15	4.09	1.64	39.65	1.15	0.29	0.76
22.14	4.48	1.86	37.28	1.41	0.35	0.88
10.92	2.27	0.97	46.4	0.94	0.24	0.64
14.93	3.1	1.22	43.49	0.99	0.31	0.74
12.33	2.39	1.03	45.65	0.78	0.24	0.62
15.07	2.82	1.28	43.42	1.02	0.32	0.64
18.26	3.95	1.72	40.18	1.21	0.32	0.91
23.6	3.76	2.02	36.78	1.26	0.41	1.06
12.47	2.56	1.13	45.49	0.97	0.3	0.58
13.72	2.72	1.14	44.74	0.89	0.25	0.52
13.66	2.57	1.02	44.85	0.89	0.25	0.46
16.51	3.39	1.45	42.35	0.94	0.34	0.63
20.6	4	1.76	38.95	1.21	0.32	0.76
22.42	4.21	1.98	37.53	1.29	0.47	0.84
11.21	2.28	0.97	46.61	0.98	0.23	0.5
14.43	2.81	1.17	44.25	0.89	0.32	0.6
12.59	2.52	1.03	45.71	0.78	0.28	0.47
15.87	3.08	1.33	43.13	0.86	0.33	0.6
18.05	3.78	1.68	40.84	1.18	0.29	0.76
21.89	4.57	2.09	37.27	1.4	0.44	0.9
13.29	2.35	1.13	45.08	0.94	0.22	0.47
13.35	2.35	1.12	45.16	0.94	0.18	0.47
12.59	2.51	1.08	45.61	0.86	0.2	0.38
17.12	3.35	1.48	41.95	1.1	0.22	0.63
21.48	4.3	2.03	38.04	1.45	0.33	0.83
14.22	3.06	1.23	44.07	0.89	0.26	0.6
13.09	2.69	1.12	45	0.78	0.24	0.54
12.85	2.39	1.08	45.38	0.78	0.24	0.5
16.32	3.38	1.5	42.27	0.94	0.31	0.66
21.68	4.01	1.87	38.31	1.16	0.29	0.82
14.81	2.68	1.28	44.37	0.7	0.26	0.56
13.05	2.31	1.13	45.55	1	0.21	0.49
15.05	2.67	1.2	44.26	0.75	0.33	0.57
